Date,StoreID,Sales,Region,DataType
2020-01-01,1,3565.866010489339,North,Historical
2020-01-02,1,3785.4655780224957,North,Historical
2020-01-03,1,3534.3368954011803,North,Historical
2020-01-04,1,3324.801596234852,North,Historical
2020-01-05,1,3107.5448815108257,North,Historical
2020-01-06,1,3578.741138104542,North,Historical
2020-01-07,1,3891.478142024146,North,Historical
2020-01-08,1,3847.79477064282,North,Historical
2020-01-09,1,3665.4734649479465,North,Historical
2020-01-10,1,3544.4363809598044,North,Historical
2020-01-11,1,3387.2809804539393,North,Historical
2020-01-12,1,3806.211922752143,North,Historical
2020-01-13,1,3455.87240628505,North,Historical
2020-01-14,1,3632.4570074209064,North,Historical
2020-01-15,1,3435.2810681611713,North,Historical
2020-01-16,1,4175.087574645971,North,Historical
2020-01-17,1,3273.532931691299,North,Historical
2020-01-18,1,3481.0510025580306,North,Historical
2020-01-19,1,4053.0521400428715,North,Historical
2020-01-20,1,3585.0132853077616,North,Historical
2020-01-21,1,3816.0513634979175,North,Historical
2020-01-22,1,3847.7426276618553,North,Historical
2020-01-23,1,4063.9504525665466,North,Historical
2020-01-24,1,3567.79836325887,North,Historical
2020-01-25,1,3601.903667854095,North,Historical
2020-01-26,1,3527.2973270226835,North,Historical
2020-01-27,1,3581.5834735183794,North,Historical
2020-01-28,1,4452.9654989679275,North,Historical
2020-01-29,1,3739.23287599925,North,Historical
2020-01-30,1,4065.1325403519722,North,Historical
2020-01-31,1,3332.671394833599,North,Historical
2020-02-01,1,3599.6526184006616,North,Historical
2020-02-02,1,3870.8738952082886,North,Historical
2020-02-03,1,3878.4525693703476,North,Historical
2020-02-04,1,4355.520258717043,North,Historical
2020-02-05,1,4505.412373353345,North,Historical
2020-02-06,1,3934.8742745367585,North,Historical
2020-02-07,1,3939.135245081162,North,Historical
2020-02-08,1,4361.855203269852,North,Historical
2020-02-09,1,3908.715445219295,North,Historical
2020-02-10,1,4241.311482934364,North,Historical
2020-02-11,1,4216.450720666578,North,Historical
2020-02-12,1,3835.089774425189,North,Historical
2020-02-13,1,3982.1236387501935,North,Historical
2020-02-14,1,4719.509550600569,North,Historical
2020-02-15,1,3517.906126056496,North,Historical
2020-02-16,1,3703.53509979487,North,Historical
2020-02-17,1,4035.5900334473818,North,Historical
2020-02-18,1,4238.776479747941,North,Historical
2020-02-19,1,4133.509340553167,North,Historical
2020-02-20,1,4044.0111703630787,North,Historical
2020-02-21,1,3762.459435009006,North,Historical
2020-02-22,1,3398.0234020632683,North,Historical
2020-02-23,1,3529.6878275371637,North,Historical
2020-02-24,1,3656.155465292755,North,Historical
2020-02-25,1,3749.8867536185644,North,Historical
2020-02-26,1,4348.645716220616,North,Historical
2020-02-27,1,4031.092028169755,North,Historical
2020-02-28,1,3627.29321737131,North,Historical
2020-02-29,1,3486.2818400516658,North,Historical
2020-03-01,1,3868.4679919735863,North,Historical
2020-03-02,1,3459.7972957238326,North,Historical
2020-03-03,1,4303.6452788550605,North,Historical
2020-03-04,1,3321.8281457333674,North,Historical
2020-03-05,1,4224.079248929439,North,Historical
2020-03-06,1,3732.7205954071583,North,Historical
2020-03-07,1,3850.2301775178503,North,Historical
2020-03-08,1,3671.934313917645,North,Historical
2020-03-09,1,4277.8930937888335,North,Historical
2020-03-10,1,4206.287570159618,North,Historical
2020-03-11,1,3869.038343601583,North,Historical
2020-03-12,1,3624.5527777244743,North,Historical
2020-03-13,1,4085.7433721713687,North,Historical
2020-03-14,1,3746.212905163344,North,Historical
2020-03-15,1,3447.7781763231183,North,Historical
2020-03-16,1,3864.5640754067003,North,Historical
2020-03-17,1,3817.1772110850284,North,Historical
2020-03-18,1,4349.891642851733,North,Historical
2020-03-19,1,3745.573289092413,North,Historical
2020-03-20,1,3936.2664479097175,North,Historical
2020-03-21,1,3685.8224385062726,North,Historical
2020-03-22,1,4031.8506802131024,North,Historical
2020-03-23,1,4066.465579717721,North,Historical
2020-03-24,1,4318.229517766222,North,Historical
2020-03-25,1,3971.6369746082173,North,Historical
2020-03-26,1,4028.34064834769,North,Historical
2020-03-27,1,3974.8890268173063,North,Historical
2020-03-28,1,3684.56500807387,North,Historical
2020-03-29,1,4141.104811887646,North,Historical
2020-03-30,1,4434.972349917344,North,Historical
2020-03-31,1,3861.1171534726022,North,Historical
2020-04-01,1,4130.731152215849,North,Historical
2020-04-02,1,4103.719841662302,North,Historical
2020-04-03,1,3693.8530929603376,North,Historical
2020-04-04,1,3650.2825724729228,North,Historical
2020-04-05,1,4177.031341658798,North,Historical
2020-04-06,1,3770.237902807172,North,Historical
2020-04-07,1,4783.920257137511,North,Historical
2020-04-08,1,3808.71049744657,North,Historical
2020-04-09,1,3827.8902418503317,North,Historical
2020-04-10,1,3830.5805167347416,North,Historical
2020-04-11,1,3622.350123309754,North,Historical
2020-04-12,1,4105.104749991823,North,Historical
2020-04-13,1,4189.930764832335,North,Historical
2020-04-14,1,3904.818976785789,North,Historical
2020-04-15,1,4069.8591522462293,North,Historical
2020-04-16,1,3924.182563166027,North,Historical
2020-04-17,1,4001.5749914019825,North,Historical
2020-04-18,1,3602.5554179094033,North,Historical
2020-04-19,1,3899.6251258435786,North,Historical
2020-04-20,1,3802.512696298949,North,Historical
2020-04-21,1,4346.536908006993,North,Historical
2020-04-22,1,4075.3907093993153,North,Historical
2020-04-23,1,3918.565451884311,North,Historical
2020-04-24,1,3941.921984683847,North,Historical
2020-04-25,1,4084.3421591677247,North,Historical
2020-04-26,1,3969.2745062145746,North,Historical
2020-04-27,1,3980.787801358091,North,Historical
2020-04-28,1,3915.7486039849423,North,Historical
2020-04-29,1,4454.624662452858,North,Historical
2020-04-30,1,3940.982361923804,North,Historical
2020-05-01,1,3802.1902757363528,North,Historical
2020-05-02,1,3465.3514022276413,North,Historical
2020-05-03,1,3626.2288788030273,North,Historical
2020-05-04,1,4047.485647659835,North,Historical
2020-05-05,1,3812.8369861966976,North,Historical
2020-05-06,1,4109.868648881018,North,Historical
2020-05-07,1,4036.1803577713686,North,Historical
2020-05-08,1,3552.70260974152,North,Historical
2020-05-09,1,3659.553033321432,North,Historical
2020-05-10,1,4223.898080114038,North,Historical
2020-05-11,1,3819.2720525153986,North,Historical
2020-05-12,1,3859.2109214700617,North,Historical
2020-05-13,1,3810.1662917722706,North,Historical
2020-05-14,1,3649.2977455745545,North,Historical
2020-05-15,1,4255.860465717677,North,Historical
2020-05-16,1,3597.0290420749025,North,Historical
2020-05-17,1,3625.062651338993,North,Historical
2020-05-18,1,3855.945043000036,North,Historical
2020-05-19,1,3895.312004050436,North,Historical
2020-05-20,1,3715.812595188348,North,Historical
2020-05-21,1,3579.700582073545,North,Historical
2020-05-22,1,3497.0799162934536,North,Historical
2020-05-23,1,3567.61964597691,North,Historical
2020-05-24,1,3724.6341602821394,North,Historical
2020-05-25,1,3529.7943881993256,North,Historical
2020-05-26,1,3971.5648070766415,North,Historical
2020-05-27,1,4172.641298642956,North,Historical
2020-05-28,1,3877.627738274736,North,Historical
2020-05-29,1,3603.8257202499635,North,Historical
2020-05-30,1,3496.4181322841832,North,Historical
2020-05-31,1,3160.2390247334138,North,Historical
2020-06-01,1,3446.497233028693,North,Historical
2020-06-02,1,3681.5557394309344,North,Historical
2020-06-03,1,3767.368608962818,North,Historical
2020-06-04,1,3818.105702186418,North,Historical
2020-06-05,1,3736.0745964664043,North,Historical
2020-06-06,1,3470.164514218407,North,Historical
2020-06-07,1,3159.803489328044,North,Historical
2020-06-08,1,3286.3894419943226,North,Historical
2020-06-09,1,3596.7796781055,North,Historical
2020-06-10,1,3863.130820198796,North,Historical
2020-06-11,1,3661.2406848773308,North,Historical
2020-06-12,1,3908.9128486217423,North,Historical
2020-06-13,1,3477.932278838868,North,Historical
2020-06-14,1,3416.676033659246,North,Historical
2020-06-15,1,3793.7521043336083,North,Historical
2020-06-16,1,3865.0483965898484,North,Historical
2020-06-17,1,3491.6217042187136,North,Historical
2020-06-18,1,3570.3107052515315,North,Historical
2020-06-19,1,3167.783310869156,North,Historical
2020-06-20,1,3557.9330717375597,North,Historical
2020-06-21,1,3349.314885237974,North,Historical
2020-06-22,1,3408.0742942323436,North,Historical
2020-06-23,1,3726.4200915389974,North,Historical
2020-06-24,1,3233.204329862223,North,Historical
2020-06-25,1,3331.3645486229198,North,Historical
2020-06-26,1,3534.1674040344146,North,Historical
2020-06-27,1,2898.7317189094983,North,Historical
2020-06-28,1,3330.009908219758,North,Historical
2020-06-29,1,3345.484045038662,North,Historical
2020-06-30,1,3661.9493699006857,North,Historical
2020-07-01,1,3418.241993562054,North,Historical
2020-07-02,1,3477.550066944044,North,Historical
2020-07-03,1,3244.206303655593,North,Historical
2020-07-04,1,3239.489696198667,North,Historical
2020-07-05,1,3217.3671523686007,North,Historical
2020-07-06,1,3192.006154660707,North,Historical
2020-07-07,1,3195.2484215730606,North,Historical
2020-07-08,1,3276.6946717647365,North,Historical
2020-07-09,1,3223.0953627432123,North,Historical
2020-07-10,1,2933.1728835407707,North,Historical
2020-07-11,1,3046.50673062535,North,Historical
2020-07-12,1,3107.991065664495,North,Historical
2020-07-13,1,2675.6782658176676,North,Historical
2020-07-14,1,3214.110319064258,North,Historical
2020-07-15,1,3588.7057781903013,North,Historical
2020-07-16,1,2909.6175087013,North,Historical
2020-07-17,1,3251.9993688697214,North,Historical
2020-07-18,1,3134.7234272761903,North,Historical
2020-07-19,1,2855.2356770590554,North,Historical
2020-07-20,1,2979.1883914768637,North,Historical
2020-07-21,1,3419.8567900619755,North,Historical
2020-07-22,1,3666.2515002405817,North,Historical
2020-07-23,1,3051.3868807143385,North,Historical
2020-07-24,1,2900.2123377363005,North,Historical
2020-07-25,1,2828.6665874497894,North,Historical
2020-07-26,1,2667.187104189274,North,Historical
2020-07-27,1,3711.760674994671,North,Historical
2020-07-28,1,3056.7292335236752,North,Historical
2020-07-29,1,3543.610697854916,North,Historical
2020-07-30,1,3039.501991223049,North,Historical
2020-07-31,1,3267.3951449127003,North,Historical
2020-08-01,1,2665.6423262963913,North,Historical
2020-08-02,1,3200.6878191129226,North,Historical
2020-08-03,1,2634.726537064527,North,Historical
2020-08-04,1,3108.6985203222293,North,Historical
2020-08-05,1,3492.084083754785,North,Historical
2020-08-06,1,2893.637240673514,North,Historical
2020-08-07,1,3107.4878079380405,North,Historical
2020-08-08,1,2638.9442518621195,North,Historical
2020-08-09,1,2731.77842125958,North,Historical
2020-08-10,1,2783.9831879581325,North,Historical
2020-08-11,1,2665.1016649544454,North,Historical
2020-08-12,1,2876.8542392634563,North,Historical
2020-08-13,1,2922.5548848567378,North,Historical
2020-08-14,1,2650.1661565614254,North,Historical
2020-08-15,1,2195.5957915472964,North,Historical
2020-08-16,1,2775.4876692366215,North,Historical
2020-08-17,1,2406.504803885236,North,Historical
2020-08-18,1,2946.8292989554366,North,Historical
2020-08-19,1,2579.4941026134707,North,Historical
2020-08-20,1,2741.2468441799724,North,Historical
2020-08-21,1,2526.3664413648266,North,Historical
2020-08-22,1,2912.878216457685,North,Historical
2020-08-23,1,2343.9006079512574,North,Historical
